UserId,Action,Date
1,UPDATE Employee,11/15/2023 10:23
2,UPDATE Area,11/15/2023 10:27
2,CREATE Area,11/15/2023 10:27
2,CREATE Division,11/15/2023 10:27
2,UPDATE Division,11/15/2023 10:27
2,CREATE Department,11/15/2023 10:27
2,UPDATE Department,11/15/2023 10:28
2,CREATE Section,11/15/2023 10:28
2,UPDATE Section,11/15/2023 10:28
2,CREATE Position,11/15/2023 10:28
2,UPDATE Position,11/15/2023 10:28
2,CREATE Schedule,11/15/2023 10:28
2,UPDATE Schedule,11/15/2023 10:28
2,CREATE Area,11/15/2023 4:41:54 PM
0,CREATE User,11/15/2023 4:48:29 PM
0,CREATE User,11/15/2023 4:59:28 PM
0,CREATE User,11/15/2023 4:59:37 PM
